receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9843,BLD01000000389BX2,building,0007_0004,1163723.6843395,1732409.4739427,35.5741974,129.3068152,157.2700040
9844,BLD01000000389BX2,building,0007_0004,1163723.6843395,1732409.4739427,35.5741974,129.3068152,156.1600040
9845,BLD01000000389BX2,building,0007_0004,1163720.1881329,1732403.4819726,35.5741440,129.3067754,157.2700040
9846,BLD01000000389BX2,building,0007_0004,1163720.1881329,1732403.4819726,35.5741440,129.3067754,156.1600040
9847,,terrain,0007_0004,1163715.0000000,1732405.0000000,35.5741585,129.3067185,158.0609657
9848,BLD01000000389ASW,building,0007_0004,1163708.3482700,1732409.1074455,35.5741966,129.3066459,179.1100010
9849,BLD01000000389ASW,building,0007_0004,1163708.3482700,1732409.1074455,35.5741966,129.3066459,170.3300020
9850,BLD01000000389ASW,building,0007_0004,1163708.3482700,1732409.1074455,35.5741966,129.3066459,161.5500030
9851,,terrain,0007_0004,1163705.0000000,1732405.0000000,35.5741601,129.3066082,157.2877894
9852,BLD01000000366ZMA,building,0008_0004,1163800.7771011,1732498.1837609,35.5749841,129.3076835,175.6900020
9853,BLD01000000366ZMA,building,0008_0004,1163800.7771011,1732498.1837609,35.5749841,129.3076835,171.5000000
9854,,terrain,0008_0004,1163805.0000000,1732495.0000000,35.5749547,129.3077295,170.8101919
9855,BLD01000000366ZMA,building,0008_0004,1163809.7293404,1732492.5057560,35.5749314,129.3077811,175.6900020
9856,BLD01000000366ZMA,building,0008_0004,1163809.7293404,1732492.5057560,35.5749314,129.3077811,171.5000000
9857,BLD01000000366ZMA,building,0008_0004,1163814.2745170,1732499.8392266,35.5749968,129.3078328,175.6900020
9858,BLD01000000366ZMA,building,0008_0004,1163814.2745170,1732499.8392266,35.5749968,129.3078328,171.5000000
9859,,terrain,0008_0004,1163815.0000000,1732495.0000000,35.5749530,129.3078398,171.3048452
9860,BLD01000000367695,building,0008_0004,1163818.7464124,1732493.7560719,35.5749412,129.3078808,178.4700010
9861,BLD01000000367695,building,0008_0004,1163818.7464124,1732493.7560719,35.5749412,129.3078808,171.4799960
9862,BLD01000000367695,building,0008_0004,1163836.6010555,1732498.0090173,35.5749766,129.3080787,178.4700010
9863,BLD01000000367695,building,0008_0004,1163836.6010555,1732498.0090173,35.5749766,129.3080787,171.4799960
