reference,x_epsg5179,y_epsg5179,lat,lon,alt
,1163335.0000000,1732025.0000000,35.5707967,129.3024500,124.7456047
,1163345.0000000,1732025.0000000,35.5707950,129.3025603,121.3976452
,1163355.0000000,1732025.0000000,35.5707934,129.3026706,119.3328999
,1163365.0000000,1732025.0000000,35.5707917,129.3027809,116.2455924
,1163375.0000000,1732025.0000000,35.5707901,129.3028912,112.6973588
,1163385.0000000,1732025.0000000,35.5707884,129.3030015,111.6663056
,1163395.0000000,1732025.0000000,35.5707868,129.3031118,109.4009388
,1163405.0000000,1732025.0000000,35.5707851,129.3032221,106.6275505
,1163415.0000000,1732025.0000000,35.5707835,129.3033324,106.7045492
,1163425.0000000,1732025.0000000,35.5707818,129.3034427,106.3368677
,1163435.0000000,1732025.0000000,35.5707802,129.3035530,104.1980308
,1163445.0000000,1732025.0000000,35.5707785,129.3036633,101.9230616
,1163455.0000000,1732025.0000000,35.5707769,129.3037736,101.6069205
,1163465.0000000,1732025.0000000,35.5707752,129.3038839,101.7700651
,1163475.0000000,1732025.0000000,35.5707736,129.3039943,106.6363175
,1163485.0000000,1732025.0000000,35.5707719,129.3041046,111.2393361
,1163495.0000000,1732025.0000000,35.5707703,129.3042149,112.0358067
,1163505.0000000,1732025.0000000,35.5707686,129.3043252,115.2802990
,1163515.0000000,1732025.0000000,35.5707670,129.3044355,116.4562896
,1163525.0000000,1732025.0000000,35.5707653,129.3045458,116.6609106
,1163535.0000000,1732025.0000000,35.5707636,129.3046561,118.3954438
,1163545.0000000,1732025.0000000,35.5707620,129.3047664,119.1952361
,1163555.0000000,1732025.0000000,35.5707603,129.3048767,118.8807016
,1163565.0000000,1732025.0000000,35.5707587,129.3049870,117.1501012
,1163575.0000000,1732025.0000000,35.5707570,129.3050973,116.5634208
,1163585.0000000,1732025.0000000,35.5707554,129.3052076,112.4932236
,1163595.0000000,1732025.0000000,35.5707537,129.3053179,110.7719760
,1163605.0000000,1732025.0000000,35.5707521,129.3054282,109.6352059
,1163615.0000000,1732025.0000000,35.5707504,129.3055385,111.4017447
,1163625.0000000,1732025.0000000,35.5707488,129.3056488,113.6422756
,1163635.0000000,1732025.0000000,35.5707471,129.3057591,115.0490077
,1163645.0000000,1732025.0000000,35.5707455,129.3058694,115.8344581
,1163655.0000000,1732025.0000000,35.5707438,129.3059797,115.6918099
,1163665.0000000,1732025.0000000,35.5707422,129.3060900,113.5652464
,1163675.0000000,1732025.0000000,35.5707405,129.3062003,114.2845477
,1163685.0000000,1732025.0000000,35.5707389,129.3063106,115.9680744
,1163695.0000000,1732025.0000000,35.5707372,129.3064209,116.8517176
,1163705.0000000,1732025.0000000,35.5707356,129.3065312,120.5688030
,1163715.0000000,1732025.0000000,35.5707339,129.3066415,122.1608373
,1163725.0000000,1732025.0000000,35.5707322,129.3067518,126.3838445
,1163735.0000000,1732025.0000000,35.5707306,129.3068622,128.8332249
